Date,^GSPC,^RUT,^DJI,^IXIC,AGG,DBC,^VIX
2015-09-11,1961.050048828125,1157.7900390625,16433.08984375,4822.33984375,92.3810043334961,14.797669410705566,23.200000762939453
2015-09-14,1953.030029296875,1153.5,16370.9599609375,4805.759765625,92.40640258789062,14.61306381225586,24.25
2015-09-15,1978.0899658203125,1166.0,16599.849609375,4860.52001953125,91.9913558959961,14.66164493560791,22.540000915527344
2015-09-16,1995.31005859375,1175.199951171875,16739.94921875,4889.240234375,91.9151382446289,14.904547691345215,21.350000381469727
2015-09-17,1990.199951171875,1180.68994140625,16674.740234375,4893.9501953125,92.49111938476562,14.80738639831543,21.139999389648438
2015-09-18,1958.030029296875,1163.3499755859375,16384.580078125,4827.22998046875,92.56737518310547,14.583915710449219,22.280000686645508
2015-09-21,1966.969970703125,1161.0899658203125,16510.189453125,4828.9501953125,92.32169342041016,14.749090194702148,20.139999389648438
2015-09-22,1942.739990234375,1143.030029296875,16330.4697265625,4756.72021484375,92.54193878173828,14.66164493560791,22.440000534057617
2015-09-23,1938.760009765625,1140.050048828125,16279.8896484375,4752.740234375,92.46568298339844,14.545050621032715,22.1299991607666
2015-09-24,1932.239990234375,1137.5400390625,16201.3203125,4734.47998046875,92.58431243896484,14.63249683380127,23.469999313354492
2015-09-25,1931.3399658203125,1122.7900390625,16314.669921875,4686.5,92.42337799072266,14.719941139221191,23.6200008392334
2015-09-28,1881.77001953125,1090.5699462890625,16001.8896484375,4543.97021484375,92.64358520507812,14.515901565551758,27.6299991607666
2015-09-29,1884.0899658203125,1083.9100341796875,16049.1298828125,4517.31982421875,92.78762817382812,14.61306381225586,26.829999923706055
2015-09-30,1920.030029296875,1100.68994140625,16284.7001953125,4620.16015625,92.82149505615234,14.719941139221191,24.5
2015-10-01,1923.8199462890625,1097.550048828125,16272.009765625,4627.080078125,92.89363098144531,14.622779846191406,22.549999237060547
2015-10-02,1951.3599853515625,1114.1199951171875,16472.369140625,4707.77978515625,93.17366790771484,14.719941139221191,20.940000534057617
2015-10-05,1987.050048828125,1141.6400146484375,16776.4296875,4781.259765625,92.82573699951172,14.914263725280762,19.540000915527344
2015-10-06,1979.9200439453125,1133.68994140625,16790.189453125,4748.35986328125,93.05489349365234,15.2057466506958,19.399999618530273
2015-10-07,1995.8299560546875,1152.5999755859375,16912.2890625,4791.14990234375,92.98696899414062,15.17659854888916,18.399999618530273
2015-10-08,2013.4300537109375,1163.239990234375,17050.75,4810.7900390625,92.85968780517578,15.244611740112305,17.420000076293945
2015-10-09,2014.8900146484375,1165.3599853515625,17084.490234375,4830.47021484375,92.78328704833984,15.312625885009766,17.079999923706055
2015-10-12,2017.4599609375,1164.4000244140625,17131.859375,4838.64013671875,93.02092742919922,15.069722175598145,16.170000076293945
2015-10-13,2003.68994140625,1147.8399658203125,17081.890625,4796.60986328125,93.02938842773438,14.972559928894043,17.670000076293945
2015-10-14,1994.239990234375,1136.969970703125,16924.75,4782.85009765625,93.3773422241211,15.011425018310547,18.030000686645508
